index,link_id,link_type,diameter,length,n_exp,C,status,node_out,node_in
70,70,pipe,0.1,76.44,1.852,122.0,Open,222,161
71,71,pipe,0.1,356.94,1.852,83.0,Open,161,131
72,72,pipe,0.1,443.79,1.852,101.0,Open,131,242
73,73,pipe,0.1,20.55,1.852,88.0,Open,242,130
74,74,pipe,0.1,113.33,1.852,103.0,Open,130,241
75,75,pipe,0.1,25.96,1.852,81.0,Open,241,168
76,76,pipe,0.1,145.04,1.852,73.0,Open,168,167
77,77,pipe,0.1,55.24,1.852,73.0,Open,167,166
78,78,pipe,0.1,208.22,1.852,97.0,Open,166,129
79,79,pipe,0.1,190.43,1.852,89.0,Open,129,125
80,80,pipe,0.1,70.98,1.852,88.0,Open,125,246
81,81,pipe,0.1,52.04,1.852,109.0,Open,246,245
82,82,pipe,0.1,34.03,1.852,95.0,Open,245,124
83,83,pipe,0.1,79.47,1.852,94.0,Open,124,225
84,84,pipe,0.1,277.99,1.852,112.0,Open,225,226
85,85,pipe,0.1,86.03,1.852,81.0,Open,176,227
86,86,pipe,0.1,296.25,1.852,100.0,Open,227,177
87,87,pipe,0.1,111.3,1.852,102.0,Open,177,180
88,88,pipe,0.1,123.37,1.852,88.0,Open,180,178
89,89,pipe,0.1,196.27,1.852,94.0,Open,178,179
90,90,pipe,0.1,198.46,1.852,76.0,Open,179,228
91,91,pipe,0.1,75.62,1.852,76.0,Open,228,229
92,92,pipe,0.1,110.14,1.852,92.0,Open,229,121
93,93,pipe,0.1,423.57,1.852,100.0,Open,121,118
94,94,pipe,0.1,116.57,1.852,125.0,Open,118,117
95,95,pipe,0.1,100.61,1.852,82.0,Open,117,181
96,96,pipe,0.1,164.84,1.852,93.0,Open,181,182
97,97,pipe,0.1,47.49,1.852,90.0,Open,182,116
98,98,pipe,0.1,87.54,1.852,66.0,Open,116,247
99,99,pipe,0.15,189.27,1.852,85.0,Open,49,184
100,100,pipe,0.15,244.8,1.852,68.0,Open,184,41
101,101,pipe,0.15,293.47,1.852,102.0,Open,41,248
102,102,pipe,0.15,308.64,1.852,79.0,Open,248,40
103,103,pipe,0.15,566.57,1.852,92.0,Open,40,39
104,104,pipe,0.1,95.14,1.852,84.0,Open,226,176
105,105,pipe,0.1,248.55,1.852,95.0,Open,247,183
106,106,pipe,0.1,187.78,1.852,83.0,Open,183,49
107,107,pipe,0.125,357.67,1.852,97.0,Open,39,38
108,108,pipe,0.1,700.57,1.852,101.0,Open,38,37
109,109,pipe,0.1,404.46,1.852,113.0,Open,37,193
110,110,pipe,0.125,160.86,1.852,88.0,Open,193,36
111,111,pipe,0.125,557.42,1.852,63.0,Open,36,194
112,112,pipe,0.15,127.02,1.852,80.0,Open,194,27
113,113,pipe,0.15,46.66,1.852,109.0,Open,27,26
114,114,pipe,0.15,674.32,1.852,77.0,Open,26,195
115,115,pipe,0.125,50.76,1.852,103.0,Open,195,33
116,116,pipe,0.1,138.54,1.852,93.0,Open,26,196
117,117,pipe,0.1,199.33,1.852,110.0,Open,196,25
118,118,pipe,0.1,231.12,1.852,66.0,Open,25,232
119,119,pipe,0.1,187.06,1.852,88.0,Open,232,24
120,120,pipe,0.1,240.64,1.852,75.0,Open,24,231
121,121,pipe,0.125,173.44,1.852,129.0,Open,231,7
122,122,pipe,0.1,23.58,1.852,102.0,Open,7,6
123,123,pipe,0.125,526.74,1.852,109.0,Open,6,28
124,124,pipe,0.1,500.72,1.852,77.0,Open,28,249
125,125,pipe,0.1,15.29,1.852,85.0,Open,249,29
126,126,pipe,0.125,265.92,1.852,87.0,Open,7,8
127,127,pipe,0.125,355.51,1.852,105.0,Open,8,23
128,128,pipe,0.125,189.78,1.852,87.0,Open,23,207
129,129,pipe,0.125,28.18,1.852,100.0,Open,207,208
130,130,pipe,0.125,129.34,1.852,64.0,Open,208,22
131,131,pipe,0.125,361.24,1.852,86.0,Open,22,21
132,132,pipe,0.15,223.52,1.852,80.0,Open,21,264
133,133,pipe,0.15,185.17,1.852,70.0,Open,20,210
134,134,pipe,0.15,154.95,1.852,98.0,Open,210,209
135,135,pipe,0.2,34.71,1.852,95.0,Open,209,19
136,136,pipe,0.15,31.14,1.852,91.0,Open,264,20
137,137,pipe,0.2,42.52,1.852,74.0,Open,19,253
138,138,pipe,0.2,356.45,1.852,106.0,Open,253,18
139,139,pipe,0.2,128.82,1.852,96.0,Open,18,211
140,140,pipe,0.2,140.66,1.852,87.0,Open,211,212
141,141,pipe,0.2,113.32,1.852,91.0,Open,212,11
142,142,pipe,0.15,555.23,1.852,88.0,Open,11,10
143,143,pipe,0.15,272.68,1.852,68.0,Open,10,4
144,144,pipe,0.1,315.88,1.852,87.0,Open,59,203
145,145,pipe,0.1,284.93,1.852,80.0,Open,203,202
146,146,pipe,0.125,97.93,1.852,78.0,Open,202,31
147,147,pipe,0.1,262.94,1.852,76.0,Open,265,32
148,148,pipe,0.1,635.82,1.852,84.0,Open,32,33
149,149,pipe,0.15,415.73,1.852,65.0,Open,33,34
150,150,pipe,0.15,122.6,1.852,104.0,Open,34,35
151,151,pipe,0.1,29.56,1.852,98.0,Open,265,31
152,152,pipe,0.1,33.8,1.852,91.0,Open,59,205
153,153,pipe,0.1,377.12,1.852,91.0,Open,205,88
154,154,pipe,0.15,629.17,1.852,81.0,Open,88,89
155,155,pipe,0.2,133.28,1.852,104.0,Open,89,90
156,156,pipe,0.2,348.05,1.852,89.0,Open,90,91
157,157,pipe,0.3,292.89,1.852,82.0,Open,91,234
158,158,pipe,0.3,488.99,1.852,109.0,Open,234,109
159,159,pipe,0.1,289.88,1.852,88.0,Open,138,235
160,160,pipe,0.1,486.72,1.852,83.0,Open,235,110
161,161,pipe,0.2,260.92,1.852,87.0,Open,102,106
162,162,pipe,0.2,163.58,1.852,80.0,Open,106,91
163,163,pipe,0.2,424.07,1.852,76.0,Open,48,108
164,164,pipe,0.2,173.66,1.852,124.0,Open,108,109
165,165,pipe,0.15,99.55,1.852,113.0,Open,109,110
166,166,pipe,0.15,307.92,1.852,95.0,Open,110,111
167,167,pipe,0.1,283.84,1.852,75.0,Open,59,204
168,168,pipe,0.125,141.49,1.852,80.0,Open,204,200
169,169,pipe,0.125,58.27,1.852,89.0,Open,200,100
170,170,pipe,0.15,79.59,1.852,101.0,Open,100,199
171,171,pipe,0.15,39.41,1.852,74.0,Open,199,198
172,172,pipe,0.15,126.25,1.852,61.0,Open,198,101
173,173,pipe,0.1,61.39,1.852,72.0,Open,29,30
174,174,pipe,0.1,73.73,1.852,95.0,Open,30,31
175,175,pipe,0.125,83.16,1.852,96.0,Open,31,250
176,176,pipe,0.15,118.22,1.852,97.0,Open,250,197
177,177,pipe,0.15,297.21,1.852,89.0,Open,197,101
178,178,pipe,0.2,17.08,1.852,93.0,Open,101,221
179,179,pipe,0.2,58.11,1.852,85.0,Open,221,139
180,180,pipe,0.2,135.5,1.852,102.0,Open,139,219
181,181,pipe,0.1,255.85,1.852,73.0,Open,139,192
182,182,pipe,0.1,40.65,1.852,97.0,Open,192,191
183,183,pipe,0.2,161.59,1.852,80.0,Open,219,102
184,184,pipe,0.1,136.29,1.852,87.0,Open,191,190
185,185,pipe,0.125,57.23,1.852,98.0,Open,190,105
186,186,pipe,0.125,164.02,1.852,105.0,Open,105,189
187,187,pipe,0.125,192.86,1.852,76.0,Open,189,35
188,188,pipe,0.1,234.58,1.852,107.0,Open,105,104
189,189,pipe,0.1,215.82,1.852,100.0,Open,104,103
190,190,pipe,0.1,231.93,1.852,90.0,Open,102,103
191,191,pipe,0.15,134.12,1.852,88.0,Open,91,138
192,192,pipe,0.15,175.33,1.852,88.0,Open,138,112
193,193,pipe,0.15,231.12,1.852,87.0,Open,112,113
194,194,pipe,0.1,607.94,1.852,91.0,Open,112,92
195,195,pipe,0.15,122.13,1.852,92.0,Open,257,147
196,196,pipe,0.15,40.06,1.852,102.0,Open,147,63
197,197,pipe,0.15,301.37,1.852,111.0,Open,63,64
198,198,pipe,0.125,102.07,1.852,97.0,Open,64,65
199,199,pipe,0.1,1094.73,1.852,88.0,Open,65,80
200,200,pipe,0.1,199.73,1.852,99.0,Open,65,66
201,201,pipe,0.1,160.59,1.852,93.0,Open,66,67
202,202,pipe,0.1,82.49,1.852,78.0,Open,67,68
203,203,pipe,0.1,137.42,1.852,103.0,Open,80,266
204,204,pipe,0.1,229.41,1.852,95.0,Open,266,84
205,205,pipe,0.125,111.38,1.852,93.0,Open,84,267
206,206,pipe,0.125,105.08,1.852,98.0,Open,267,85
207,207,pipe,0.125,292.34,1.852,94.0,Open,85,173
208,208,pipe,0.125,47.39,1.852,79.0,Open,173,172
209,209,pipe,0.125,324.07,1.852,89.0,Open,172,92
210,210,pipe,0.1,120.76,1.852,89.0,Open,93,268
211,211,pipe,0.1,187.57,1.852,84.0,Open,268,114
212,212,pipe,0.15,314.62,1.852,113.0,Open,89,92
213,213,pipe,0.1,157.18,1.852,80.0,Open,92,93
214,214,pipe,0.1,103.32,1.852,85.0,Open,93,238
215,215,pipe,0.1,308.21,1.852,82.0,Open,238,133
216,216,pipe,0.1,205.05,1.852,76.0,Open,133,239
217,217,pipe,0.1,234.72,1.852,89.0,Open,239,134
218,218,pipe,0.15,109.11,1.852,87.0,Open,134,162
219,219,pipe,0.15,262.04,1.852,111.0,Open,162,163
220,220,pipe,0.15,152.57,1.852,88.0,Open,163,240
221,221,pipe,0.15,240.23,1.852,77.0,Open,240,135
222,222,pipe,0.1,381.95,1.852,112.0,Open,114,113
223,223,pipe,0.1,374.77,1.852,107.0,Open,113,115
224,224,pipe,0.125,318.59,1.852,88.0,Open,115,236
225,225,pipe,0.125,104.73,1.852,71.0,Open,236,111
226,226,pipe,0.1,43.25,1.852,85.0,Open,111,220
227,227,pipe,0.1,406.87,1.852,89.0,Open,220,122
228,228,pipe,0.1,386.74,1.852,95.0,Open,122,123
229,229,pipe,0.1,106.49,1.852,88.0,Open,123,175
230,230,pipe,0.1,85.64,1.852,97.0,Open,175,174
231,231,pipe,0.1,214.06,1.852,96.0,Open,174,223
232,232,pipe,0.1,117.61,1.852,75.0,Open,223,224
233,233,pipe,0.1,203.24,1.852,79.0,Open,224,124
234,234,pipe,0.1,29.27,1.852,81.0,Open,16,17
235,235,pipe,0.1,170.94,1.852,84.0,Open,17,214
236,236,pipe,0.1,252.74,1.852,87.0,Open,214,15
237,237,pipe,0.1,325.9,1.852,91.0,Open,15,213
238,238,pipe,0.1,350.99,1.852,52.0,Open,213,14
239,239,pipe,0.1,118.26,1.852,85.0,Open,14,12
240,240,pipe,0.125,207.6,1.852,107.0,Open,4,54
241,241,pipe,0.125,285.73,1.852,77.0,Open,54,55
242,242,pipe,0.125,322.72,1.852,103.0,Open,55,56
243,243,pipe,0.1,265.11,1.852,96.0,Open,56,57
244,244,pipe,0.1,406.85,1.852,91.0,Open,10,9
245,245,pipe,0.1,518.87,1.852,93.0,Open,9,8
246,246,pipe,0.1,397.02,1.852,71.0,Open,9,5
247,247,pipe,0.1,493.32,1.852,90.0,Open,58,60
248,248,pipe,0.1,140.28,1.852,112.0,Open,60,151
249,249,pipe,0.1,195.4,1.852,92.0,Open,151,152
250,250,pipe,0.1,175.12,1.852,92.0,Open,152,83
251,251,pipe,0.1,145.5,1.852,81.0,Open,83,153
252,252,pipe,0.1,132.26,1.852,91.0,Open,153,84
253,253,pipe,0.1,54.37,1.852,94.0,Open,218,62
254,254,pipe,0.1,317.19,1.852,97.0,Open,62,87
255,255,pipe,0.125,294.19,1.852,86.0,Open,87,171
256,256,pipe,0.125,100.68,1.852,88.0,Open,171,170
257,257,pipe,0.15,238.22,1.852,117.0,Open,170,92
258,258,pipe,0.1,339.22,1.852,62.0,Open,85,87
259,259,pipe,0.1,585.54,1.852,120.0,Open,85,94
260,260,pipe,0.1,247.16,1.852,95.0,Open,95,94
261,261,pipe,0.1,148.81,1.852,104.0,Open,94,254
262,262,pipe,0.1,102.14,1.852,69.0,Open,254,99
263,263,pipe,0.1,387.72,1.852,83.0,Open,99,255
264,264,pipe,0.1,289.01,1.852,87.0,Open,255,132
265,265,pipe,0.1,282.41,1.852,96.0,Open,132,133
266,266,pipe,0.1,232.85,1.852,69.0,Open,79,82
267,267,pipe,0.1,210.57,1.852,97.0,Open,82,81
268,268,pipe,0.1,49.94,1.852,75.0,Open,81,80
269,269,pipe,0.1,280.35,1.852,92.0,Open,80,83
270,270,pipe,0.1,331.04,1.852,99.0,Open,83,62
271,271,pipe,0.1,225.62,1.852,95.0,Open,62,86
272,272,pipe,0.125,187.69,1.852,105.0,Open,86,88
273,273,pipe,0.1,157.87,1.852,104.0,Open,88,233
274,274,pipe,0.1,243.89,1.852,83.0,Open,233,201
275,275,pipe,0.1,101.29,1.852,94.0,Open,201,100
276,276,pipe,0.1,356.71,1.852,79.0,Open,132,165
277,277,pipe,0.1,69.68,1.852,74.0,Open,165,164
278,278,pipe,0.1,155.34,1.852,103.0,Open,164,134
279,279,pipe,0.1,906.52,1.852,91.0,Open,134,126
280,280,pipe,0.1,315.0,1.852,90.0,Open,126,127
281,281,pipe,0.15,632.68,1.852,103.0,Open,113,169
282,282,pipe,0.1,184.15,1.852,99.0,Open,169,126
283,283,pipe,0.1,123.24,1.852,96.0,Open,127,244
284,284,pipe,0.1,67.54,1.852,107.0,Open,244,243
285,285,pipe,0.1,140.38,1.852,103.0,Open,243,128
286,286,pipe,0.1,382.62,1.852,94.0,Open,128,129
287,287,pipe,0.1,294.04,1.852,82.0,Open,106,237
288,288,pipe,0.1,406.02,1.852,83.0,Open,237,107
289,289,pipe,0.1,111.83,1.852,106.0,Open,107,108
290,290,pipe,0.35000000000000003,457.93,1.852,70.0,Open,109,188
291,291,pipe,0.35000000000000003,165.68,1.852,91.0,Open,188,51
292,292,pipe,0.35000000000000003,38.63,1.852,66.0,Open,51,52
293,293,pipe,0.1,422.28,1.852,104.0,Open,52,256
294,294,pipe,0.1,243.49,1.852,102.0,Open,256,120
295,295,pipe,0.1,220.11,1.852,91.0,Open,120,118
296,296,pipe,0.1,204.87,1.852,90.0,Open,120,119
297,297,pipe,0.1,111.09,1.852,59.0,Open,119,117
298,298,pipe,0.1,205.38,1.852,99.0,Open,119,116
299,299,pipe,0.1,55.48,1.852,62.0,Open,119,118
300,300,pipe,0.2,110.86,1.852,61.0,Open,35,47
301,301,pipe,0.1,112.89,1.852,92.0,Open,47,187
302,302,pipe,0.1,77.84,1.852,79.0,Open,187,44
303,303,pipe,0.1,153.46,1.852,96.0,Open,44,43
304,304,pipe,0.1,464.02,1.852,100.0,Open,43,42
305,305,pipe,0.1,481.27,1.852,102.0,Open,42,41
306,306,pipe,0.2,214.32,1.852,82.0,Open,49,185
307,307,pipe,0.2,383.55,1.852,97.0,Open,185,186
308,308,pipe,0.2,96.32,1.852,92.0,Open,186,52
309,309,pipe,0.1,90.52,1.852,102.0,Open,44,45
310,310,pipe,0.1,184.64,1.852,98.0,Open,45,46
311,311,pipe,0.1,291.38,1.852,103.0,Open,46,50
312,312,pipe,0.1,260.28,1.852,89.0,Open,50,51
313,313,pipe,0.2,28.45,1.852,89.0,Open,47,48
314,330,pipe,0.2,100.0,1.852,104.0,Open,272,136
315,331,pipe,0.25,1000.0,1.852,63.0,Open,271,1
316,335,pipe,0.4,1.0,1.852,84.0,Open,269,52
317,336,pipe,0.2,1.0,1.852,74.0,Open,270,209
